#ICSs values in nA/ppm
node, CO, SO2, H2S, O3, NO2
H81, 4.40, 32.76, 150.51, -37.39, -31.94
H82, 4.43, 39.63, 174.03, -72.27, -27.53
H83, 3.36, 27.5,  191.13, -75.25, -23.02
H84, 3.65, 28.16, 259.70, -69.93, -23.86
H85, 3.91, 31.57, 143.54, -76.11, -24.55
H86, 2.88, 35.47, 261.50, -74.65, -28.89
H87, 3.10, 33.15, 176.35, -65.15, -20.46
H88, 3.25, 36.44, 172.59, -84.55, -28.59
H89, 2.81, 26.83, 165.72, -78.61, -24.55
H90, 3.90, 41.67, 260.75, -46.25, -22.82
H91, 3.76, 41.70, 153.24, -41.24, -26.41
H92, 3.91, 39.87, 171.70, -39.89, -26.52
H93, 4.08, 40.81, 155.00, -44.15, -29.13
H94, 3.60, 33.48, 151.44, -45.69, -27.98


#PPMIBLCs values (base line corrections in ppm)
H81,  1.85, 2.40,  0.05, -0.18, -1.15
H82,  2.05, 2.63,  0.11,  0.00, -1.15
H83,  0.95, 2.43, -0.01,  0.00, -0.59
H84,  1.25, 2.32,  0.08,  0.00, -0.49
H85,  0.92, 2.30, -0.05,  0.00, -0.54
H86,  0.91, 2.58,  0.08,  0.00, -0.37
H87,  0.95, 2.30,  0.09,  0.00, -0.60
H88,  0.66, 2.25,  0.03,  0.00, -0.50
H89,  1.09, 2.11,  0.04,  0.00, -0.43
H90,  0.96, 2.22,  0.08, -0.23, -0.52
H91, -0.23, 2.33, -0.03, -0.83, -1.85
H92,  0.33, 2.14, -0.05, -0.69, -2.41
H93,  0.11, 2.14, -0.14, -0.64, -2.22
H94, -0.18, 2.12, -0.11, -0.49, -2.04
