#ICSs values in nA/ppm
node, CO, SO2, H2S, O3, NO2
H40, 4.40, 32.76, 150.51, -37.39, -31.94
H41, 4.43, 39.63, 174.03, -72.27, -27.53
H83, 3.36, 27.5,  191.13, -75.25, -23.02
H84, 3.65, 28.16, 259.70, -69.93, -23.86
H85, 3.91, 31.57, 143.54, -76.11, -24.55
H86, 2.88, 35.47, 261.50, -74.65, -28.89
H87, 3.10, 33.15, 176.35, -65.15, -20.46
H88, 3.25, 36.44, 172.59, -84.55, -28.59
H89, 2.81, 26.83, 165.72, -78.61, -24.55
H90, 3.90, 41.67, 260.75, -46.25, -22.82
H91, 3.76, 41.70, 153.24, -41.24, -26.41
H92, 3.91, 39.87, 171.70, -39.89, -26.52
H93, 4.08, 40.81, 155.00, -44.15, -29.13
H94, 3.60, 33.48, 151.44, -45.69, -27.98
